City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,arcata,40.8665,-124.0828,56.19,81,0,0.0,US,1679164397
226,saldanha,-33.0117,17.9442,66.25,73,100,4.97,ZA,1679164400
227,sao filipe,14.8961,-24.4956,72.54,77,3,14.9,CV,1679164401
228,wenling,28.3669,121.36,49.1,87,100,8.48,CN,1679164402
229,ormara,25.2088,64.6357,75.63,75,0,4.47,PK,1679164402
230,salalah,17.0151,54.0924,80.69,78,40,6.91,OM,1679164403
231,seoul,37.5683,126.9778,36.84,90,0,3.44,KR,1679164404
232,kaitangata,-46.2817,169.8464,48.52,78,3,4.85,NZ,1679164405
233,ligayan,4.6533,119.4706,81.95,74,86,2.98,PH,1679164407
234,andenes,69.3143,16.1194,33.78,64,75,19.57,NO,1679164407
235,cururupu,-1.8283,-44.8683,73.76,95,100,2.01,BR,1679164408
236,yueyang,29.3333,113.0919,45.52,94,100,5.88,CN,1679164408
237,bambous virieux,-20.3428,57.7575,77.25,94,40,3.44,MU,1679164409
238,machico,32.7,-16.7667,65.12,63,20,13.8,PT,1679164410
239,mwene-ditu,-7.0,23.45,63.12,97,100,4.74,CD,1679164411
240,umm kaddadah,13.6017,26.6876,84.87,9,97,11.88,SD,1679164412
241,geraldton,-28.7667,114.6,61.21,72,100,10.36,AU,1679164413
242,mount gambier,-37.8333,140.7667,58.71,80,100,5.64,AU,1679164413
243,ambon,-3.6954,128.1814,77.23,16,40,3.44,ID,1679164414
244,mahajanga,-15.7167,46.3167,84.22,74,20,4.61,MG,1679164414
245,georgetown,5.4112,100.3354,80.55,83,20,3.44,MY,1679164337
246,port keats,-14.25,129.55,75.43,88,72,6.4,AU,1679164415
247,okhotsk,59.3833,143.3,6.1,97,100,3.78,RU,1679164417
248,kristiansund,63.1115,7.732,36.25,80,100,0.0,NO,1679164279
249,souillac,-20.5167,57.5167,77.38,94,40,3.44,MU,1679164418
250,itarema,-2.9248,-39.9167,81.36,74,70,6.49,BR,1679164418
251,lucapa,-8.4192,20.7447,64.76,99,100,3.89,AO,1679164419
252,esperance,-33.8667,121.9,60.96,78,0,5.1,AU,1679164419
253,mitsamiouli,-11.3847,43.2844,82.47,75,63,6.73,KM,1679164420
254,cidreira,-30.1811,-50.2056,79.54,72,0,12.68,BR,1679164421
255,axim,4.8699,-2.2405,80.19,75,100,8.61,GH,1679164424
256,barreiras,-12.1528,-44.99,74.98,88,100,2.98,BR,1679164424
257,muisne,0.6,-80.0333,83.17,70,58,7.27,EC,1679164425
258,manokwari,-0.8667,134.0833,77.29,85,100,3.6,ID,1679164425
259,ramhormoz,31.28,49.6035,68.58,39,0,4.88,IR,1679164426
260,mezen,65.8522,44.24,27.32,89,100,13.85,RU,1679164426
261,evensk,61.95,159.2333,2.77,99,52,3.69,RU,1679164427
262,matagami,49.7502,-77.6328,21.31,63,75,16.11,CA,1679164428
263,bambanglipuro,-7.95,110.2833,76.82,89,100,2.84,ID,1679164429
264,saint george,37.1041,-113.5841,53.94,27,0,5.01,US,1679164134
265,mehamn,71.0357,27.8492,28.35,86,100,4.61,NO,1679164430
266,tepalcatepec,19.1833,-102.85,92.43,22,0,5.19,MX,1679164430
267,derzhavinsk,51.1,66.3167,23.13,92,80,8.12,KZ,1679164431
268,cayenne,4.9333,-52.3333,86.04,54,20,11.5,GF,1679164204
269,nanortalik,60.1432,-45.2371,32.67,69,97,6.22,GL,1679164432
270,iringa,-7.7667,35.7,65.52,68,20,5.75,TZ,1679164433
271,hue,16.4667,107.6,71.71,94,75,1.14,VN,1679164434
272,zhangye,38.9342,100.4517,44.24,40,71,3.38,CN,1679164435
273,fortuna foothills,32.6578,-114.4119,71.65,23,0,10.36,US,1679164436
274,christchurch,-43.5333,172.6333,52.95,91,6,3.44,NZ,1679164391
275,ostrovnoy,68.0531,39.5131,28.67,89,100,28.61,RU,1679164438
276,panaba,21.2833,-88.2667,94.19,36,0,5.99,MX,1679164438
